run,tag,step,wall_time,value
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,74,1782975266.0451145,0.11552835255861282
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,75,1782975276.6122243,0.11316229403018951
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,76,1782975286.0469406,0.12396803498268127
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,77,1782975296.5859282,0.10437661409378052
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,78,1782975305.9838848,0.11553864926099777
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,79,1782975316.9256587,0.11152879148721695
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,80,1782975326.6565864,0.12269480526447296
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,81,1782975337.0879374,0.11711934953927994
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,82,1782975346.9467053,0.11545296013355255
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,83,1782975357.289768,0.11822465807199478
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,84,1782975367.0980985,0.11683942377567291
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,85,1782975377.9964888,0.12060315907001495
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,86,1782975387.7640834,0.11147880554199219
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,87,1782975398.0317798,0.11571226269006729
